Producto,Fecha,Precio por Paquete,Paquetes,Unidades por Paquete,Precio por Compra,Unidades por Compra,Mes,Precio por Unidad
Stevia,15-may-26,84.5,1,1,84.5,1,Mayo,$84.50
Stevia,10-mar-26,91,1,1,91,1,Marzo,$91.00
Stevia,13-nov-25,97,1,1,97,1,Noviembre,$97.00
Corn Flakes,17-may-26,50,1,1,50,1,Mayo,$50.00
Corn Flakes,27-abr-26,46.8,1,1,46.8,1,Abril,$46.80
Corn Flakes,10-mar-26,40,1,1,40,1,Marzo,$40.00
Corn Flakes,13-dic-25,62,1,1,62,1,Diciembre,$62.00
Pure Tomate,17-abr-26,8.5,1,1,8.5,1,Abril,$8.50
Pure Tomate,26-mar-26,8.75,1,1,8.75,1,Marzo,$8.75
Pure Tomate,12-mar-26,9,1,1,9,1,Marzo,$9.00
Pure Tomate,15-feb-26,9,1,1,9,1,Febrero,$9.00
Pure Tomate,14-nov-25,8.24,1,1,8.24,1,Noviembre,$8.24
Pure Tomate,01-nov-25,8.24,1,1,8.24,1,Noviembre,$8.24
Cheerios,17-may-26,54,1,1,54,1,Mayo,$54.00
Cheerios,09-abr-26,54,1,1,54,1,Abril,$54.00
Cheerios,15-feb-26,54,1,1,54,1,Febrero,$54.00
Cheerios,03-feb-26,59.2,1,1,59.2,1,Febrero,$59.20
Cheerios,02-ene-26,59.2,1,1,59.2,1,Enero,$59.20
Frijol Bolsa,27-abr-26,15.81,1,1,15.81,1,Abril,$15.81
Frijol Bolsa,15-feb-26,17.67,1,1,17.67,1,Febrero,$17.67
Frijol Bolsa,12-feb-26,18.6,1,1,18.6,1,Febrero,$18.60
Frijol Bolsa,03-feb-26,18.6,1,1,18.6,1,Febrero,$18.60
Frijol Bolsa,03-feb-26,18.6,1,1,18.6,1,Febrero,$18.60
Frijol Bolsa,01-nov-25,11.63,1,1,11.63,1,Noviembre,$11.63
Carlos V,06-abr-26,47.5,1,1,47.5,1,Abril,$47.50
Cafe Grano,27-abr-26,115.41,1,1,115.41,1,Abril,$115.41
Cafe Grano,10-mar-26,116,1,1,116,1,Marzo,$116.00
Cafe Grano,13-nov-25,164,1,1,164,1,Noviembre,$164.00
Toallas Cocina,06-may-26,22,1,1,22,1,Mayo,$22.00
Toallas Cocina,08-abr-26,27.5,1,1,27.5,1,Abril,$27.50
Toallas Cocina,03-feb-26,29,1,1,29,1,Febrero,$29.00
Toallas Cocina,02-ene-26,25.9,1,1,25.9,1,Enero,$25.90
Salsa Tomate,17-abr-26,52,1,1,52,1,Abril,$52.00
Salsa Tomate,12-mar-26,44,1,1,44,1,Marzo,$44.00
Salsa Tomate,15-feb-26,55,1,1,55,1,Febrero,$55.00
Avena,17-abr-26,19.9,1,1,19.9,1,Abril,$19.90
Avena,12-mar-26,19.9,1,1,19.9,1,Marzo,$19.90
Avena,13-nov-25,16.4,1,1,16.4,1,Noviembre,$16.40
Cloro,17-abr-26,28,1,1,28,1,Abril,$28.00
Cloro,21-ene-26,17.92,1,1,17.92,1,Enero,$17.92
Creatina,08-abr-26,195,1,1,195,1,Abril,$195.00
Creatina,14-nov-25,195.85,1,1,195.85,1,Noviembre,$195.85
Barilla Tornillo,03-feb-26,19,1,1,19,1,Febrero,$19.00
Barilla Tornillo,21-ene-26,19,1,1,19,1,Enero,$19.00
Barilla Tornillo,13-dic-25,19.5,1,1,19.5,1,Diciembre,$19.50
Barilla Tornillo,01-nov-25,20,1,1,20,1,Noviembre,$20.00
Vinagre Balsamico,08-abr-26,48.5,1,1,48.5,1,Abril,$48.50
OKKO Avellana,08-abr-26,119,1,1,119,1,Abril,$119.00
OKKO Avellana,03-feb-26,119,1,1,119,1,Febrero,$119.00
Mennen Shampoo,06-abr-26,69.22,1,1,69.22,1,Abril,$69.22
Mennen Shampoo,03-feb-26,68.25,1,1,68.25,1,Febrero,$68.25
Mennen Shampoo,13-nov-25,60,1,1,60,1,Noviembre,$60.00
Arroz,14-mar-26,17.5,1,1,17.5,1,Marzo,$17.50
Arroz,12-mar-26,17.5,1,1,17.5,1,Marzo,$17.50
Arroz,10-mar-26,17.5,1,1,17.5,1,Marzo,$17.50
Atun Lata,10-mar-26,40.34,1,1,40.34,1,Marzo,$40.34
Atun Lata,01-nov-25,44,1,1,44,1,Noviembre,$44.00
Pasta Dental,17-mar-26,33.93,1,1,33.93,1,Marzo,$33.93
Pasta Dental,12-feb-26,41.67,1,1,41.67,1,Febrero,$41.67
Aceite Oleico,12-mar-26,69.45,1,1,69.45,1,Marzo,$69.45
Papel Humedo,12-mar-26,45,1,1,45,1,Marzo,$45.00
Papel Humedo,15-feb-26,47,1,1,47,1,Febrero,$47.00
Papel Humedo,02-ene-26,39.05,1,1,39.05,1,Enero,$39.05
Papel Humedo,13-dic-25,35,1,1,35,1,Diciembre,$35.00
Papel Humedo,01-nov-25,36.19,1,1,36.19,1,Noviembre,$36.19
Nescafe,12-mar-26,125,1,1,125,1,Marzo,$125.00
Kikkoman Soya,12-mar-26,71,1,1,71,1,Marzo,$71.00
Kikkoman Soya,02-dic-25,78,1,1,78,1,Diciembre,$78.00
Desodorante ArmHammer,10-mar-26,65,1,1,65,1,Marzo,$65.00
Desodorante ArmHammer,15-feb-26,66.93,1,1,66.93,1,Febrero,$66.93
Arroz Integral,10-mar-26,33,1,1,33,1,Marzo,$33.00
Skippy,10-mar-26,89,1,1,89,1,Marzo,$89.00
Clavel,10-mar-26,20,1,1,20,1,Marzo,$20.00
Aceite Oliva,21-ene-26,126,1,1,126,1,Enero,$126.00
Vinagre Galon,12-feb-26,43,1,1,43,1,Febrero,$43.00
Vinagre Galon,30-oct-25,43,1,1,43,1,Octubre,$43.00
ISDIN Manos,12-feb-26,96,1,1,96,1,Febrero,$96.00
ISDIN Manos,01-nov-25,134,1,1,134,1,Noviembre,$134.00
CeraVe,03-feb-26,221,1,1,221,1,Febrero,$221.00
CeraVe,13-nov-25,223,1,1,223,1,Noviembre,$223.00
Mermelada,03-feb-26,69,1,1,69,1,Febrero,$69.00
Aceite Aerosol,21-ene-26,79.9,1,1,79.9,1,Enero,$79.90
Granola,21-ene-26,44.4,1,1,44.4,1,Enero,$44.40
Mole Dona Maria,02-ene-26,20,1,1,20,1,Enero,$20.00
Mole Dona Maria,13-dic-25,19,1,1,19,1,Diciembre,$19.00
Garnier Fructis,18-dic-25,50,1,1,50,1,Diciembre,$50.00
Garnier Fructis,13-nov-25,63,1,1,63,1,Noviembre,$63.00
Nivea Protector Solar,13-nov-25,165.5,1,1,165.5,1,Noviembre,$165.50
Acondicionador,13-nov-25,80,1,1,80,1,Noviembre,$80.00
CeraVe Facial,13-nov-25,229,1,1,229,1,Noviembre,$229.00
Harpic Destapacanos,13-nov-25,85,1,1,85,1,Noviembre,$85.00
ISDIN Nutradeica,13-nov-25,366.98,1,1,366.98,1,Noviembre,$366.98
Maizena,01-nov-25,25.5,1,1,25.5,1,Noviembre,$25.50
Jabon Neutro,15-may-26,13.5,2,1,27,2,Mayo,$13.50
Corn Flakes,03-feb-26,43.05,2,1,86.1,2,Febrero,$43.05
Corn Flakes,13-nov-25,52.7,2,1,105.4,2,Noviembre,$52.70
Pure Tomate,17-may-26,7.5,4,1,30,4,Mayo,$7.50
Pure Tomate,27-abr-26,7.5,3,1,22.5,3,Abril,$7.50
Pure Tomate,08-abr-26,8.5,2,1,17,2,Abril,$8.50
Pure Tomate,14-mar-26,8.75,2,1,17.5,2,Marzo,$8.75
Pure Tomate,10-mar-26,8.75,4,1,35,4,Marzo,$8.75
Pure Tomate,03-feb-26,8.75,2,1,17.5,2,Febrero,$8.75
Pure Tomate,03-feb-26,8.75,4,1,35,4,Febrero,$8.75
Pure Tomate,02-ene-26,9,4,1,36,4,Enero,$9.00
Pure Tomate,13-dic-25,8.75,2,1,17.5,2,Diciembre,$8.75
Pure Tomate,13-nov-25,9,8,1,72,8,Noviembre,$9.00
Pure Tomate,01-nov-25,9,2,1,18,2,Noviembre,$9.00
Cheerios,03-feb-26,59.3,2,1,118.6,2,Febrero,$59.30
Cheerios,13-nov-25,54,2,1,108,2,Noviembre,$54.00
Frijol Bolsa,10-may-26,15.81,3,1,47.43,3,Mayo,$15.81
Frijol Bolsa,08-abr-26,15.81,3,1,47.43,3,Abril,$15.81
Frijol Bolsa,14-mar-26,18.6,3,1,55.8,3,Marzo,$18.60
