Producto,Precio_Promedio,Precio_Mediana,Precio_Unidad_Promedio,Unidades_Mediana,Costo_Estandar,Penultimo_Precio,Ultimo_Precio,Estimacion_Siguiente,Num_Compras,Compras_Promedio_Mes,Compras_Mediana_Mes,Piezas_Promedio_Mes,Piezas_Mediana_Mes
Pure Tomate,8.59,8.75,8.59,1.0,8.59,7.5,7.5,7.83,17,2.43,3.0,6.14,6.0
Frijol Bolsa,16.01,16.74,16.01,1.0,16.01,15.81,15.81,15.87,12,1.71,2.0,4.14,4.0
Cheerios,56.24,54.0,56.24,1.0,56.24,54.0,54.0,54.67,7,1.0,1.0,1.29,1.0
Corn Flakes,49.09,48.4,49.09,1.0,49.09,46.8,50.0,48.77,6,0.86,1.0,1.14,1.0
Barilla Tornillo,19.5,19.5,19.5,1.0,19.5,19.0,20.02,19.56,6,0.86,1.0,1.14,1.0
Papel Humedo,41.21,42.02,41.21,1.0,41.21,47.0,45.0,44.46,6,0.86,1.0,1.14,1.0
Papel Higienico,83.88,81.0,10.6,6.0,63.58,81.0,29.0,61.06,6,0.86,1.0,11.71,6.0
Carlos V,65.6,50.0,14.25,14.0,199.53,50.0,50.0,54.68,5,0.71,0.0,7.57,0.0
Toallas Cocina,26.68,27.5,26.68,1.0,26.68,27.5,22.0,25.05,5,0.71,1.0,0.86,1.0
Chokis,53.46,52.0,7.64,7.0,53.47,52.5,60.4,55.95,5,0.71,1.0,6.0,7.0
Axion,53.5,48.7,43.86,1.4,61.4,68.0,37.5,51.45,5,0.71,1.0,1.09,1.4
Arroz,18.12,17.5,18.12,1.0,18.12,17.5,17.5,17.69,4,0.57,0.0,0.71,0.0
Salsa Tomate,51.25,53.0,51.25,1.0,51.25,44.0,52.0,49.38,4,0.57,1.0,0.86,1.0
Mole Dona Maria,19.0,18.75,19.0,1.0,19.0,19.0,20.0,19.4,4,0.57,0.0,0.86,0.0
Atun Lata,40.41,41.67,40.41,1.0,40.41,40.34,34.29,37.94,4,0.57,0.0,1.43,0.0
Jabon Neutro,52.5,60.92,15.66,4.0,62.63,74.67,13.5,43.55,4,0.57,1.0,2.57,2.0
Leche,335.5,327.0,27.96,12.0,335.49,336.0,399.0,361.05,4,0.57,0.0,6.86,0.0
Pasta Dental,43.2,41.67,34.2,1.0,34.2,41.67,33.93,39.03,3,0.43,0.0,0.57,0.0
Mennen Shampoo,65.82,68.25,65.82,1.0,65.82,68.25,69.22,67.91,3,0.43,0.0,0.43,0.0
Cafe Grano,131.8,116.0,131.8,1.0,131.8,116.0,115.41,120.5,3,0.43,0.0,0.43,0.0
Stevia,90.83,91.0,90.83,1.0,90.83,91.0,84.5,88.35,3,0.43,0.0,0.43,0.0
Avena,18.73,19.9,18.73,1.0,18.73,19.9,19.9,19.55,3,0.43,0.0,0.43,0.0
Tampones,41.67,41.0,5.21,8.0,41.71,41.0,41.0,41.2,3,0.43,0.0,3.43,0.0
Aceite Oliva,101.0,101.0,101.0,1.0,101.0,126.0,76.0,98.5,2,0.29,0.0,0.57,0.0
Cloro,22.96,22.96,22.96,1.0,22.96,17.92,28.0,23.46,2,0.29,0.0,0.29,0.0
Creatina,195.42,195.42,195.42,1.0,195.42,195.85,195.0,195.38,2,0.29,0.0,0.29,0.0
OKKO Avellana,119.0,119.0,119.0,1.0,119.0,119.0,119.0,119.0,2,0.29,0.0,0.29,0.0
Aceite Oleico,66.72,66.72,66.72,1.0,66.72,64.0,69.45,67.0,2,0.29,0.0,0.43,0.0
Kikkoman Soya,74.5,74.5,74.5,1.0,74.5,78.0,71.0,74.15,2,0.29,0.0,0.29,0.0
Garnier Fructis,56.5,56.5,56.5,1.0,56.5,63.0,50.0,55.85,2,0.29,0.0,0.29,0.0
CeraVe,222.0,222.0,222.0,1.0,222.0,223.0,221.0,221.9,2,0.29,0.0,0.29,0.0
Lubriderm,110.58,110.58,199.9,0.75,149.93,131.25,89.92,108.52,2,0.29,0.0,0.27,0.0
ISDIN Manos,115.0,115.0,115.0,1.0,115.0,134.0,96.0,113.1,2,0.29,0.0,0.29,0.0
Dove Antitranspirante,58.5,58.5,58.5,1.0,58.5,48.0,69.0,59.55,2,0.29,0.0,0.71,0.0
Vinagre Galon,43.0,43.0,43.0,1.0,43.0,43.0,43.0,43.0,2,0.29,0.0,0.29,0.0
Desodorante ArmHammer,65.96,65.96,65.96,1.0,65.96,66.93,65.0,65.87,2,0.29,0.0,0.29,0.0
Granola,43.16,43.16,43.16,1.0,43.16,41.93,44.4,43.29,2,0.29,0.0,0.43,0.0
Skippy,89.0,89.0,89.0,1.0,89.0,,89.0,89.0,1,0.14,0.0,0.14,0.0
Clavel,20.0,20.0,20.0,1.0,20.0,,20.0,20.0,1,0.14,0.0,0.14,0.0
Nescafe,125.0,125.0,125.0,1.0,125.0,,125.0,125.0,1,0.14,0.0,0.14,0.0
Arroz Integral,33.0,33.0,33.0,1.0,33.0,,33.0,33.0,1,0.14,0.0,0.14,0.0
Vinagre Balsamico,48.5,48.5,48.5,1.0,48.5,,48.5,48.5,1,0.14,0.0,0.14,0.0
Aceite Aerosol,79.9,79.9,79.9,1.0,79.9,,79.9,79.9,1,0.14,0.0,0.14,0.0
Nivea Protector Solar,165.5,165.5,165.5,1.0,165.5,,165.5,165.5,1,0.14,0.0,0.14,0.0
Mermelada,69.0,69.0,69.0,1.0,69.0,,69.0,69.0,1,0.14,0.0,0.14,0.0
Ducray DS,219.0,219.0,219.0,1.0,219.0,,219.0,219.0,1,0.14,0.0,0.29,0.0
Maizena,25.5,25.5,25.5,1.0,25.5,,25.5,25.5,1,0.14,0.0,0.14,0.0
Harpic Destapacanos,85.0,85.0,85.0,1.0,85.0,,85.0,85.0,1,0.14,0.0,0.14,0.0
ISDIN Nutradeica,366.98,366.98,366.98,1.0,366.98,,366.98,366.98,1,0.14,0.0,0.14,0.0
CeraVe Facial,229.0,229.0,229.0,1.0,229.0,,229.0,229.0,1,0.14,0.0,0.14,0.0
Acondicionador,80.0,80.0,80.0,1.0,80.0,,80.0,80.0,1,0.14,0.0,0.14,0.0
Barilla Espagueti,22.5,22.5,22.5,1.0,22.5,,22.5,22.5,1,0.14,0.0,0.29,0.0
Galletas Gaveti,199.0,199.0,11.06,18.0,199.08,,199.0,199.0,1,0.14,0.0,2.57,0.0
Sico,67.91,67.91,22.64,3.0,67.92,,67.91,67.91,1,0.14,0.0,0.43,0.0
Gilette Cuchillas,127.5,127.5,63.75,2.0,127.5,,127.5,127.5,1,0.14,0.0,0.29,0.0
Esponjas Metal,30.0,30.0,15.0,2.0,30.0,,30.0,30.0,1,0.14,0.0,0.86,0.0
Proteina,785.0,785.0,560.71,1.4,784.99,,785.0,785.0,1,0.14,0.0,0.2,0.0
Saba,91.0,91.0,1.9,48.0,91.2,,91.0,91.0,1,0.14,0.0,20.57,0.0
Miel de Abeja,90.0,90.0,180.0,0.5,90.0,,90.0,90.0,1,0.14,0.0,0.07,0.0
Mayonesa,73.0,73.0,100.69,0.72,73.0,,73.0,73.0,1,0.14,0.0,0.1,0.0
Ariel Liquido,209.0,209.0,41.8,5.0,209.0,,209.0,209.0,1,0.14,0.0,0.71,0.0
